scorer,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000,DLC_resnet50_HaradaJan15shuffle1_50000
bodyparts,head,head,head
coords,x,y,likelihood
53,1111.124755859375,358.4515686035156,0.9981629252433777
54,1111.146484375,358.47332763671875,0.9981593489646912
55,1111.1256103515625,358.4848937988281,0.998164713382721
56,1111.120361328125,358.48699951171875,0.9981661438941956
57,1111.1148681640625,358.4887390136719,0.9981825351715088
58,1111.1202392578125,358.4910583496094,0.9981757402420044
59,1111.244140625,358.60870361328125,0.9979749321937561
60,1111.2440185546875,358.6116943359375,0.9979820251464844
61,1111.255615234375,358.6557922363281,0.9979543685913086
62,1111.2471923828125,358.6398620605469,0.9979923963546753
63,1111.2125244140625,358.6249084472656,0.9980407357215881
64,1111.1763916015625,358.596435546875,0.9980727434158325
65,1111.1807861328125,358.60205078125,0.9980698227882385
66,1111.1678466796875,358.5723571777344,0.9980913996696472
67,1111.1663818359375,358.5930480957031,0.9981687068939209
68,1111.16357421875,358.5999450683594,0.9981523156166077
69,1111.1612548828125,358.62274169921875,0.998134970664978
70,1111.11328125,358.5814514160156,0.9981973767280579
71,1111.0301513671875,358.5272521972656,0.9982203841209412
72,1111.00048828125,358.52325439453125,0.9982067346572876
73,1110.98876953125,358.5244140625,0.9982109069824219
74,1110.9990234375,358.5555419921875,0.9982367753982544
75,1111.0289306640625,358.5381164550781,0.9982455968856812
76,1111.1500244140625,358.4493103027344,0.9982041120529175
77,1111.1473388671875,358.4275207519531,0.9982205033302307
78,1111.1099853515625,358.44610595703125,0.9982203841209412
79,1111.0797119140625,358.4445495605469,0.9982103109359741
80,1111.0865478515625,358.44927978515625,0.9982129335403442
81,1111.04736328125,358.44854736328125,0.9982170462608337
82,1111.07958984375,358.48333740234375,0.9981552958488464
83,1111.056640625,358.3932800292969,0.9981911778450012
84,1111.048583984375,358.353271484375,0.9982300400733948
85,1111.0830078125,358.3742370605469,0.9982024431228638
86,1111.0908203125,358.3653564453125,0.9982036352157593
87,1111.0589599609375,358.344970703125,0.9982163310050964
88,1111.14599609375,358.4391174316406,0.9981985688209534
89,1111.1419677734375,358.4292297363281,0.9982216954231262
90,1111.089111328125,358.36480712890625,0.9982255101203918
91,1111.1544189453125,358.4642639160156,0.9982025623321533
92,1111.1239013671875,358.4239196777344,0.9982233643531799
93,1111.1802978515625,358.4000244140625,0.9981999397277832
94,1111.19921875,358.4068603515625,0.9981864094734192
95,1111.1517333984375,358.3550109863281,0.9981997013092041
96,1111.205078125,358.3601989746094,0.9981766939163208
97,1111.3228759765625,358.5142517089844,0.9980705380439758
98,1111.31591796875,358.5318908691406,0.998056173324585
99,1111.318359375,358.52264404296875,0.9980605244636536
100,1111.4620361328125,358.551025390625,0.9979749321937561
101,1111.4637451171875,358.56103515625,0.9979633092880249
102,1111.56640625,358.4731750488281,0.9978163242340088
103,1111.4906005859375,358.4644775390625,0.9978645443916321
104,1111.4691162109375,358.4693603515625,0.9978787899017334
105,1111.4710693359375,358.4709777832031,0.997875452041626
106,1111.435546875,358.4681396484375,0.9978919625282288
107,1111.4222412109375,358.45745849609375,0.9979069232940674
108,1111.37451171875,358.4775390625,0.9979332685470581
109,1111.3375244140625,358.4671630859375,0.9979552030563354
110,1111.3541259765625,358.49041748046875,0.9979339838027954
111,1111.3890380859375,358.4683532714844,0.9979569911956787
112,1111.5023193359375,358.4609375,0.9979401230812073
113,1111.4482421875,358.4599609375,0.9979694485664368
114,1111.4443359375,358.4462585449219,0.9979694485664368
115,1111.423095703125,358.4176940917969,0.9979816675186157
116,1111.495849609375,358.38983154296875,0.9979714751243591
117,1111.4578857421875,358.4127197265625,0.998015284538269
118,1111.4884033203125,358.4508972167969,0.9979187846183777
119,1111.4140625,358.4423828125,0.9979656934738159
120,1111.4110107421875,358.43359375,0.99796462059021
121,1111.340087890625,358.35321044921875,0.99809330701828
122,1111.32421875,358.3997802734375,0.9981040954589844
123,1111.266357421875,358.4354248046875,0.9981049299240112
124,1111.2647705078125,358.4466857910156,0.9981077909469604
125,1111.3004150390625,358.38897705078125,0.9980975985527039
126,1111.2835693359375,358.3968811035156,0.9981227517127991
