scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
55,802.0081787109375,516.1482543945312,0.9997368454933167
56,801.941650390625,516.08154296875,0.9997356534004211
57,801.9389038085938,516.091552734375,0.9997343420982361
58,801.9948120117188,516.2862548828125,0.99972003698349
59,802.021728515625,516.3101196289062,0.9997190833091736
60,802.0147705078125,516.28369140625,0.9997146725654602
61,802.0164184570312,516.2686157226562,0.999714195728302
62,801.975830078125,516.222412109375,0.9997226595878601
63,801.97705078125,516.215576171875,0.9997228980064392
64,801.899169921875,516.2730102539062,0.9997146725654602
65,801.903076171875,516.272216796875,0.9997146725654602
66,801.8971557617188,516.2379760742188,0.9997126460075378
67,801.8954467773438,516.2352905273438,0.9997125267982483
68,801.9205322265625,516.3006591796875,0.999713122844696
69,801.9005737304688,516.2864379882812,0.9997105002403259
70,801.9246826171875,516.2855224609375,0.9997122883796692
71,801.8671264648438,516.2799072265625,0.9997205138206482
72,801.853759765625,516.2682495117188,0.999721109867096
73,801.8726196289062,516.258544921875,0.9997275471687317
74,801.884521484375,516.2739868164062,0.9997277855873108
75,801.9654541015625,516.4978637695312,0.9997242093086243
76,801.9649658203125,516.497802734375,0.9997237324714661
77,801.9561767578125,516.4800415039062,0.9997228980064392
78,801.9602661132812,516.4768676757812,0.999723494052887
79,801.9970703125,516.4828491210938,0.9997249245643616
80,801.994140625,516.48388671875,0.999725878238678
81,801.9934692382812,516.4849243164062,0.999725878238678
82,801.9946899414062,516.484130859375,0.9997261166572571
83,801.8863525390625,516.4219360351562,0.9997127652168274
84,801.911376953125,516.4002075195312,0.999715268611908
85,801.9209594726562,516.4039916992188,0.9997169375419617
86,802.01171875,516.2955322265625,0.9997226595878601
87,802.01513671875,516.2855224609375,0.9997231364250183
88,802.0214233398438,516.2879028320312,0.9997304081916809
89,802.0211791992188,516.2861328125,0.9997301697731018
90,801.9459228515625,516.3802490234375,0.9997205138206482
91,801.918212890625,516.3004150390625,0.9997202754020691
92,801.9185180664062,516.3170166015625,0.9997220635414124
93,801.921630859375,516.3047485351562,0.9997220635414124
94,801.9139404296875,516.3341674804688,0.9997212290763855
95,801.9794311523438,516.2474975585938,0.9997281432151794
96,801.9904174804688,516.2536010742188,0.9997279047966003
97,801.991455078125,516.2531127929688,0.9997277855873108
98,801.955322265625,516.1885986328125,0.9997275471687317
99,801.97705078125,516.1439819335938,0.9997257590293884
100,801.8054809570312,516.1869506835938,0.9997184872627258
101,801.7987060546875,516.1985473632812,0.9997201561927795
102,801.810302734375,516.1971435546875,0.9997239708900452
103,802.1078491210938,516.1918334960938,0.9997352957725525
104,802.1104736328125,516.1919555664062,0.9997346997261047
105,802.0985717773438,516.4078979492188,0.9997254014015198
106,802.093505859375,516.3862915039062,0.9997257590293884
107,802.232177734375,516.5343017578125,0.9997383952140808
108,801.8784790039062,516.3046875,0.9997187256813049
109,801.8222045898438,516.2415771484375,0.9997192025184631
110,801.8117065429688,516.2192993164062,0.9997177720069885
111,801.813720703125,516.222900390625,0.9997181296348572
112,801.814453125,516.2254028320312,0.9997182488441467
113,802.0366821289062,516.4041137695312,0.9997285008430481
114,802.1127319335938,516.3489990234375,0.999738872051239
115,802.1011962890625,516.3858642578125,0.9997368454933167
116,802.07763671875,516.3624877929688,0.9997367262840271
117,802.0794677734375,516.32275390625,0.9997362494468689
118,802.0879516601562,516.287353515625,0.9997391104698181
119,802.0769653320312,516.3013916015625,0.9997380375862122
120,802.0330200195312,516.1786499023438,0.9997363686561584
121,802.03955078125,516.1915893554688,0.9997373223304749
122,802.1641235351562,516.2384033203125,0.9997392296791077
123,802.1748046875,516.2218627929688,0.9997393488883972
124,802.1248779296875,516.1885986328125,0.9997372031211853
125,801.9984130859375,516.1823120117188,0.99973064661026
