scorer,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000,DLC_resnet50_haradaFeb15shuffle1_50000
bodyparts,Head,Head,Head
coords,x,y,likelihood
56,723.0499877929688,509.9134826660156,0.999017596244812
57,722.9813842773438,509.92047119140625,0.9989948868751526
58,722.97412109375,509.9470520019531,0.9990084767341614
59,722.8960571289062,509.8729248046875,0.9989538192749023
60,722.9834594726562,509.99176025390625,0.9990631937980652
61,723.0531005859375,510.0188903808594,0.9990649819374084
62,723.0546875,510.0390930175781,0.9990760087966919
63,722.991455078125,510.0966491699219,0.9990808963775635
64,722.996826171875,510.08740234375,0.9990851879119873
65,723.3095092773438,510.0787048339844,0.9991167187690735
66,723.40478515625,510.00750732421875,0.9990819692611694
67,723.480712890625,509.98455810546875,0.9990718364715576
68,723.4461059570312,509.9461364746094,0.9990536570549011
69,723.2969360351562,509.9073791503906,0.9990405440330505
70,723.2111206054688,509.9928283691406,0.9990662932395935
71,723.0697631835938,509.9295959472656,0.9990242719650269
72,723.01025390625,510.0146179199219,0.9990535378456116
73,723.1334228515625,509.893798828125,0.9990203380584717
74,723.2085571289062,510.0038757324219,0.9990856647491455
75,723.1981811523438,510.0153503417969,0.9990923404693604
76,723.393310546875,509.9651794433594,0.9990699887275696
77,723.4608764648438,510.01910400390625,0.9991045594215393
78,723.456787109375,510.0690002441406,0.9991161227226257
79,723.4552001953125,510.0736999511719,0.9991188645362854
80,723.4546508789062,510.2580871582031,0.9991602897644043
81,723.2326049804688,510.21185302734375,0.9991093277931213
82,723.2094116210938,510.20257568359375,0.999103307723999
83,723.2030639648438,510.1968688964844,0.9991000890731812
84,723.3182373046875,510.2090759277344,0.9990929365158081
85,723.462890625,510.2863464355469,0.9991287589073181
86,723.4154663085938,510.2909851074219,0.9991438388824463
87,723.4119873046875,510.20257568359375,0.9991227984428406
88,723.4100341796875,510.20892333984375,0.9991235136985779
89,723.2742919921875,510.1606750488281,0.9991161227226257
90,723.280029296875,510.1324768066406,0.9991114735603333
91,723.006103515625,509.9477233886719,0.9990211725234985
92,722.9843139648438,509.9264221191406,0.9990056157112122
93,722.9007568359375,509.8256530761719,0.9989317059516907
94,722.8987426757812,509.8223876953125,0.9989301562309265
95,722.9779052734375,509.896728515625,0.9989901185035706
96,722.9859619140625,509.90283203125,0.9989920258522034
97,723.0911254882812,509.9151306152344,0.9990062117576599
98,723.0927124023438,509.92510986328125,0.999010443687439
99,723.235595703125,509.8837585449219,0.9990135431289673
100,723.0421752929688,509.8771057128906,0.9989728927612305
101,723.0990600585938,509.9446105957031,0.9990090131759644
102,723.1027221679688,509.989013671875,0.9990357160568237
103,723.1144409179688,509.9681091308594,0.999029278755188
104,723.1946411132812,509.926513671875,0.9990291595458984
